file,type,line,frame
  276 |       const profilesBefore = getProfilerEventsByKind(""mount"", ""parcel"");
> 277 |       expect(profilesBefore.length).toBe(0);
      |                                         ^ Magic Number
  278 |
  279 |       const parcel = singleSpa.mountRootParcel(parcelConfig, props);
  280 |       await parcel.mountPromise;"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/apps/profiler-basic/profiler-basic.spec.js,Magic Number,"{'line': 283, 'column': 40, 'index': 9146}","  281 |
  282 |       const profilesAfter = getProfilerEventsByKind(""mount"", ""parcel"");
> 283 |       expect(profilesAfter.length).toBe(1);
      |                                        ^ Magic Number
  284 |       expect(profilesAfter[0].operationSucceeded).toBe(true);
  285 |     });
  286 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/apps/profiler-basic/profiler-basic.spec.js,Magic Number,"{'line': 289, 'column': 41, 'index': 9394}","  287 |     it(""captures successful update events"", async () => {
  288 |       const profilesBefore = getProfilerEventsByKind(""update"", ""parcel"");
> 289 |       expect(profilesBefore.length).toBe(0);
      |                                         ^ Magic Number
  290 |
  291 |       const parcel = singleSpa.mountRootParcel(parcelConfig, props);
  292 |       await parcel.mountPromise;"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/apps/profiler-basic/profiler-basic.spec.js,Magic Number,"{'line': 296, 'column': 40, 'index': 9649}","  294 |
  295 |       const profilesAfter = getProfilerEventsByKind(""update"", ""parcel"");
> 296 |       expect(profilesAfter.length).toBe(1);
      |                                        ^ Magic Number
  297 |       expect(profilesAfter[0].operationSucceeded).toBe(true);
  298 |     });
  299 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/apps/profiler-basic/profiler-basic.spec.js,Magic Number,"{'line': 302, 'column': 41, 'index': 9899}","  300 |     it(""captures successful unmount events"", async () => {
  301 |       const profilesBefore = getProfilerEventsByKind(""unmount"", ""parcel"");
> 302 |       expect(profilesBefore.length).toBe(0);
