file,type,line,frame
> 28 |   expect(registerSpy).toHaveBeenCalledTimes(1);
     |  ^ Duplicate Assert
  29 |
  30 |   // $ExpectError: using awesome matchers
  31 |   const expected: DroppableEntry = {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/registration.spec.js,Duplicate Assert,"{'line': 37, 'column': 2, 'index': 1143}","  35 |   };
  36 |
> 37 |   expect(registerSpy).toHaveBeenCalledWith(expected);
     |  ^ Duplicate Assert
  38 | });
  39 |
  40 | it('should unregister itself when unmounting', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/registration.spec.js,Duplicate Assert,"{'line': 51, 'column': 2, 'index': 1602}","  49 |   );
  50 |   expect(registerSpy).toHaveBeenCalled();
> 51 |   expect(unregisterSpy).not.toHaveBeenCalled();
     |  ^ Duplicate Assert
  52 |
  53 |   const entry = registerSpy.mock.calls[0][0];
  54 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/registration.spec.js,Duplicate Assert,"{'line': 56, 'column': 2, 'index': 1719}","  54 |
  55 |   wrapper.unmount();
> 56 |   expect(unregisterSpy).toHaveBeenCalledTimes(1);
     |  ^ Duplicate Assert
  57 |   expect(unregisterSpy).toHaveBeenCalledWith(entry);
  58 | });
  59 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/registration.spec.js,Duplicate Assert,"{'line': 57, 'column': 2, 'index': 1769}","  55 |   wrapper.unmount();
  56 |   expect(unregisterSpy).toHaveBeenCalledTimes(1);
> 57 |   expect(unregisterSpy).toHaveBeenCalledWith(entry);
     |  ^ Duplicate Assert
  58 | });
  59 |
  60 | it('should update its registration when a descriptor property changes', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/registration.spec.js,Duplicate Assert,"{'line': 98, 'column': 2, 'index': 2877}","   96 |
   97 |   // old descriptor removed
>  98 |   expect(unregisterSpy).toHaveBeenCalledTimes(1);
      |  ^ Duplicate Assert
   99 |   expect(unregisterSpy).toHaveBeenCalledWith(first);
  100 |
  101 |   // new descriptor added"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/registration.spec.js,Duplicate Assert,"{'line': 99, 'column': 2, 'index': 2927}","   97 |   // old descriptor removed
   98 |   expect(unregisterSpy).toHaveBeenCalledTimes(1);
>  99 |   expect(unregisterSpy).toHaveBeenCalledWith(first);
      |  ^ Duplicate Assert
  100 |
  101 |   // new descriptor added
  102 |   // $ExpectError: using awesome matchers"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/registration.spec.js,Duplicate Assert,"{'line': 121, 'column': 2, 'index': 3664}","  119 |     </WithAppContext>,
  120 |   );
> 121 |   expect(registerSpy).toHaveBeenCalledTimes(1);
      |  ^ Duplicate Assert
  122 |   expect(unregisterSpy).not.toHaveBeenCalled();
  123 |   registerSpy.mockClear();
  124 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/registration.spec.js,Duplicate Assert,"{'line': 122, 'column': 2, 'index': 3712}","  120 |   );
  121 |   expect(registerSpy).toHaveBeenCalledTimes(1);
> 122 |   expect(unregisterSpy).not.toHaveBeenCalled();
      |  ^ Duplicate Assert
  123 |   registerSpy.mockClear();
  124 |
  125 |   forceUpdate(wrapper);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/registration.spec.js,Duplicate Assert,"{'line': 122, 'column': 2, 'index': 3712}","  120 |   );
  121 |   expect(registerSpy).toHaveBeenCalledTimes(1);
> 122 |   expect(unregisterSpy).not.toHaveBeenCalled();
      |  ^ Duplicate Assert
  123 |   registerSpy.mockClear();
  124 |
  125 |   forceUpdate(wrapper);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/registration.spec.js,Duplicate Assert,"{'line': 126, 'column': 2, 'index': 3812}","  124 |
  125 |   forceUpdate(wrapper);
> 126 |   expect(unregisterSpy).not.toHaveBeenCalled();
      |  ^ Duplicate Assert
  127 |   expect(registerSpy).not.toHaveBeenCalled();
  128 | });
  129 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/registration.spec.js,Duplicate Assert,"{'line': 126, 'column': 2, 'index': 3812}","  124 |
  125 |   forceUpdate(wrapper);
> 126 |   expect(unregisterSpy).not.toHaveBeenCalled();
      |  ^ Duplicate Assert
  127 |   expect(registerSpy).not.toHaveBeenCalled();
  128 | });
  129 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/registration.spec.js,Duplicate Assert,"{'line': 127, 'column': 2, 'index': 3860}","  125 |   forceUpdate(wrapper);
  126 |   expect(unregisterSpy).not.toHaveBeenCalled();
> 127 |   expect(registerSpy).not.toHaveBeenCalled();
      |  ^ Duplicate Assert
  128 | });
  129 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/publishing.spec.js,Duplicate Assert,"{'line': 413, 'column': 4, 'index': 13396}","  411 |       registerSpy.mock.calls[0][0].callbacks;
  412 |     // execute it to get the dimension
> 413 |     expect(console.warn).not.toHaveBeenCalled();
      |    ^ Duplicate Assert
  414 |     const result: DroppableDimension = callbacks.getDimensionAndWatchScroll(
  415 |       preset.windowScroll,
  416 |       immediate,"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/publishing.spec.js,Duplicate Assert,"{'line': 418, 'column': 4, 'index': 13573}","  416 |       immediate,
  417 |     );
> 418 |     expect(console.warn).toHaveBeenCalled();
      |    ^ Duplicate Assert
  419 |
  420 |     expect(result).toEqual(expected);
  421 |     // $FlowFixMe"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/publishing.spec.js,Exception Handling,"{'line': 404, 'column': 6, 'index': 13117}","  402 |     // should never be called!
  403 |     jest.spyOn(parent, 'getBoundingClientRect').mockImplementation(() => {
> 404 |       throw new Error(
      |      ^ Exception Handling
  405 |         'Should not be getting the boundingClientRect on the parent',
  406 |       );
  407 |     });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/publishing.spec.js,Redundant Print,"{'line': 413, 'column': 11, 'index': 13403}","  411 |       registerSpy.mock.calls[0][0].callbacks;
  412 |     // execute it to get the dimension
> 413 |     expect(console.warn).not.toHaveBeenCalled();
      |           ^ Redundant Print
  414 |     const result: DroppableDimension = callbacks.getDimensionAndWatchScroll(
  415 |       preset.windowScroll,
  416 |       immediate,"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/publishing.spec.js,Redundant Print,"{'line': 418, 'column': 11, 'index': 13580}","  416 |       immediate,
  417 |     );
> 418 |     expect(console.warn).toHaveBeenCalled();
      |           ^ Redundant Print
  419 |
  420 |     expect(result).toEqual(expected);
  421 |     // $FlowFixMe"
